packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.integrations.defectdojo,DefectDojoClient,com.konghq:unirest-java,null,null,30,40,0.75
org.dependencytrack.integrations.defectdojo,DefectDojoClient,us.springett:alpine,null,null,10,40,0.25
org.dependencytrack.policy,SeverityPolicyEvaluatorTest,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.resources.v1.vo,CloneProjectRequest,us.springett:alpine,null,null,3,3,1.0
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,us.springett:alpine,null,null,45,45,1.0
org.dependencytrack.util,CompressUtil,org.apache.commons:commons-compress,null,null,11,11,1.0
org.dependencytrack.notification,NotificationRouterTest,us.springett:alpine,null,null,83,83,1.0
org.dependencytrack.notification.publisher,SlackPublisher,io.pebbletemplates:pebble,null,null,8,10,0.8
org.dependencytrack.notification.publisher,SlackPublisher,us.springett:alpine,null,null,2,10,0.2
org.dependencytrack.parser.nvd,ModelConverter,us.springett:cpe-parser,null,null,34,34,1.0
org.dependencytrack.model,Cpe,us.springett:alpine,null,null,28,28,1.0
org.dependencytrack.parser.ossindex,OssIndexParser,us.springett:alpine,null,null,5,53,0.09
org.dependencytrack.parser.ossindex,OssIndexParser,com.konghq:unirest-java,null,null,48,53,0.91
org.dependencytrack.resources.v1,LicenseResource,us.springett:alpine,null,null,8,8,1.0
org.dependencytrack.resources.v1.vo,BomSubmitRequest,us.springett:alpine,null,null,6,6,1.0
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,com.github.package-url:packageurl-java,null,null,20,131,0.15
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,com.konghq:unirest-java,null,null,36,131,0.27
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,us.springett:alpine,null,null,48,131,0.37
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,us.springett:cvss-calculator,null,null,27,131,0.21
org.dependencytrack.integrations.kenna,KennaSecurityUploader,us.springett:alpine,null,null,36,78,0.46
org.dependencytrack.integrations.kenna,KennaSecurityUploader,com.konghq:unirest-java,null,null,41,78,0.53
org.dependencytrack.integrations.kenna,KennaSecurityUploader,org.json:json,null,null,1,78,0.01
org.dependencytrack.resources.v1,OidcResource,us.springett:alpine,null,null,132,132,1.0
org.dependencytrack.resources.v1,ProjectResource,us.springett:alpine,null,null,49,49,1.0
org.dependencytrack.persistence,CweImporter,us.springett:alpine,null,null,7,7,1.0
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,org.json:json,null,null,18,29,0.62
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,us.springett:alpine,null,null,11,29,0.38
org.dependencytrack.policy,VersionPolicyEvaluator,us.springett:alpine,null,null,9,9,1.0
org.dependencytrack.model,OrganizationalEntity,us.springett:alpine,null,null,2,2,1.0
org.dependencytrack.model,Vulnerability,us.springett:alpine,null,null,41,41,1.0
org.dependencytrack.tasks,DefectDojoUploadTask,us.springett:alpine,null,null,10,10,1.0
org.dependencytrack.resources.v1,ServiceResource,us.springett:alpine,null,null,26,26,1.0
org.dependencytrack,PersistenceCapableTest,us.springett:alpine,null,null,5,5,1.0
org.dependencytrack.notification,NotificationSubsystemInitializer,us.springett:alpine,null,null,15,15,1.0
org.dependencytrack.search,ServiceComponentIndexer,us.springett:alpine,null,null,37,63,0.59
org.dependencytrack.search,ServiceComponentIndexer,org.apache.lucene:lucene-core,null,null,26,63,0.41
org.dependencytrack.resources.v1,PolicyViolationResource,us.springett:alpine,null,null,26,26,1.0
org.dependencytrack.common,UnirestFactory,com.konghq:unirest-java,null,null,8,8,1.0
org.dependencytrack.resources.v1,MetricsResource,us.springett:alpine,null,null,38,38,1.0
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,com.github.package-url:packageurl-java,null,null,1,1,1.0
org.dependencytrack.integrations.kenna,KennaDataTransformer,org.json:json,null,null,81,82,0.99
org.dependencytrack.integrations.kenna,KennaDataTransformer,us.springett:alpine,null,null,1,82,0.01
org.dependencytrack.model,ProjectPropertyTest,us.springett:alpine,null,null,6,6,1.0
org.dependencytrack.policy,LicensePolicyEvaluator,us.springett:alpine,null,null,6,6,1.0
org.dependencytrack.resources.v1,LicenseResourceTest,us.springett:alpine,null,null,2,2,1.0
org.dependencytrack.integrations.defectdojo,DefectDojoClientTest,org.mock-server:mockserver-netty,null,null,4,4,1.0
org.dependencytrack.policy,PackageURLPolicyEvaluator,com.github.package-url:packageurl-java,null,null,5,10,0.5
org.dependencytrack.policy,PackageURLPolicyEvaluator,us.springett:alpine,null,null,5,10,0.5
org.dependencytrack.resources.v1,LdapResource,us.springett:alpine,null,null,66,66,1.0
org.dependencytrack.tasks.repositories,MavenMetaAnalyzerTest,com.github.package-url:packageurl-java,null,null,2,2,1.0
org.dependencytrack,ResourceTest,us.springett:alpine,null,null,28,28,1.0
org.dependencytrack.parser.npm,NpmAuditParser,com.konghq:unirest-java,null,null,9,14,0.64
org.dependencytrack.parser.npm,NpmAuditParser,us.springett:alpine,null,null,5,14,0.36
org.dependencytrack.resources.v1,AccessControlResource,us.springett:alpine,null,null,46,46,1.0
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:alpine,null,null,5,93,0.05
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:cvss-calculator,null,null,26,93,0.28
org.dependencytrack.parser.vulndb,ModelConverter,us.springett:vulndb-data-mirror,null,null,62,93,0.67
org.dependencytrack.persistence,ComponentQueryManager,us.springett:alpine,null,null,65,106,0.61
org.dependencytrack.persistence,ComponentQueryManager,com.github.package-url:packageurl-java,null,null,41,106,0.39
org.dependencytrack.tasks,VulnerabilityManagementUploadTask,us.springett:alpine,null,null,12,12,1.0
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,com.konghq:unirest-java,null,null,30,42,0.71
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,us.springett:alpine,null,null,5,42,0.12
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,com.github.package-url:packageurl-java,null,null,7,42,0.17
org.dependencytrack.model,ServiceComponent,us.springett:alpine,null,null,13,13,1.0
org.dependencytrack.resources.v1,FindingResourceTest,us.springett:alpine,null,null,8,8,1.0
org.dependencytrack.search,SearchManager,us.springett:alpine,null,null,43,71,0.61
org.dependencytrack.search,SearchManager,org.apache.lucene:lucene-queryparser,null,null,4,71,0.06
org.dependencytrack.search,SearchManager,org.apache.lucene:lucene-core,null,null,24,71,0.34
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,us.springett:alpine,null,null,240,240,1.0
org.dependencytrack.resources.v1,VulnerabilityResource,us.springett:alpine,null,null,46,76,0.61
org.dependencytrack.resources.v1,VulnerabilityResource,us.springett:cvss-calculator,null,null,30,76,0.39
org.dependencytrack.model,NotificationRule,us.springett:alpine,null,null,13,13,1.0
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,org.mock-server:mockserver-netty,null,null,9,11,0.82
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,com.github.package-url:packageurl-java,null,null,2,11,0.18
org.dependencytrack.util,InternalComponentIdentificationUtilTest,us.springett:alpine,null,null,8,15,0.53
org.dependencytrack.util,InternalComponentIdentificationUtilTest,org.mockito:mockito-core,null,null,7,15,0.47
org.dependencytrack.notification.publisher,MsTeamsPublisherTest,org.mock-server:mockserver-netty,null,null,4,19,0.21
org.dependencytrack.notification.publisher,MsTeamsPublisherTest,us.springett:alpine,null,null,15,19,0.79
org.dependencytrack.tasks,TaskScheduler,us.springett:alpine,null,null,31,31,1.0
org.dependencytrack.resources.v1,AbstractConfigPropertyResource,us.springett:alpine,null,null,107,107,1.0
org.dependencytrack.resources.v1,AnalysisResource,us.springett:alpine,null,null,29,29,1.0
org.dependencytrack.common,UnirestFactoryTest,com.konghq:unirest-java,null,null,9,9,1.0
